cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,temperature,timestamp,unknown_134,unknown_135,unknown_136,unknown_87,unknown_90,activity_event,activity_event_group,activity_event_type,activity_local_timestamp,activity_num_sessions,activity_timestamp,activity_total_timer_time,activity_type,activity_unknown_7,device_ant_device_number,device_ant_network,device_ant_transmission_type,device_battery_status,device_battery_voltage,device_cum_operating_time,device_device_index,device_device_type,device_garmin_product,device_hardware_version,device_manufacturer,device_sensor_position,device_serial_number,device_software_version,device_source_type,device_timestamp,device_unknown_13,device_unknown_15,device_unknown_16,device_unknown_17,device_unknown_23,device_unknown_24,device_unknown_29,device_unknown_30,device_unknown_31,device_unknown_32,device_unknown_8,device_unknown_9
54,0.0,104.60000000000002,1.036,0.5,104,298106670,1446990916,30,2025-03-26 23:32:16,,44,104,,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
54,2.18,104.60000000000002,1.129,0.5,104,298106783,1446990657,30,2025-03-26 23:32:17,,44,104,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
86,11.86,104.60000000000002,1.913,0.5,104,298106650,1446989339,30,2025-03-26 23:32:20,,44,104,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
87,29.09,104.20000000000005,3.76,0.5,107,298105665,1446987535,30,2025-03-26 23:32:24,,32,107,894.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,33.03,103.79999999999995,3.844,0.0,111,298105377,1446987189,30,2025-03-26 23:32:25,,32,111,894.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,37.18,103.20000000000005,3.91,0.0,114,298105000,1446986954,30,2025-03-26 23:32:26,,32,114,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
89,46.78,102.79999999999995,4.003,0.0,118,298104016,1446986513,30,2025-03-26 23:32:28,,32,118,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
90,56.0,102.60000000000002,4.133,0.0,121,298103026,1446986300,30,2025-03-26 23:32:30,,32,121,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
90,69.6,102.60000000000002,4.189,0.0,124,298101650,1446986746,30,2025-03-26 23:32:33,,44,124,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
90,74.83,102.60000000000002,4.189,0.0,125,298101190,1446987122,30,2025-03-26 23:32:34,,44,125,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
89,95.61,102.79999999999995,4.04,0.0,127,298099918,1446989218,30,2025-03-26 23:32:39,,57,127,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,118.42,103.60000000000002,4.106,0.0,130,298099670,1446991856,30,2025-03-26 23:32:44,,72,130,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,125.76,103.60000000000002,4.115,0.0,133,298099407,1446992718,30,2025-03-26 23:32:46,,72,133,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
89,133.13,103.39999999999998,4.133,0.0,136,298099361,1446993590,30,2025-03-26 23:32:48,,57,136,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
90,150.1,103.39999999999998,4.152,0.0,138,298099141,1446995582,30,2025-03-26 23:32:52,,44,138,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,173.36,102.39999999999998,4.143,0.0,139,298098923,1446998322,30,2025-03-26 23:32:58,,12,139,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,176.71,102.20000000000005,4.143,0.0,139,298098808,1446998709,30,2025-03-26 23:32:59,,12,139,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,186.75,102.20000000000005,4.124,0.0,139,298098791,1446999869,30,2025-03-26 23:33:02,,12,139,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
90,207.7,102.60000000000002,4.022,0.0,139,298099606,1447002169,30,2025-03-26 23:33:08,,32,139,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
91,225.74,102.60000000000002,3.928,0.0,141,298101326,1447003015,30,2025-03-26 23:33:13,,32,141,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
90,232.75,102.79999999999995,3.882,0.0,144,298102117,1447002895,30,2025-03-26 23:33:15,,32,144,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
90,246.98,102.79999999999995,3.919,0.0,146,298103612,1447001833,30,2025-03-26 23:33:18,,32,146,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
89,264.54,102.60000000000002,4.096,0.0,148,298104948,1447000484,30,2025-03-26 23:33:22,,44,148,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
89,272.35,103.20000000000005,3.928,0.0,149,298105128,1446999566,30,2025-03-26 23:33:24,,44,149,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,282.26,103.20000000000005,4.04,0.0,151,298105154,1446998371,30,2025-03-26 23:33:27,,44,151,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
90,297.7,103.39999999999998,4.05,0.0,154,298105021,1446996534,30,2025-03-26 23:33:31,,18,154,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,315.6,103.39999999999998,4.05,0.0,154,298104981,1446994410,30,2025-03-26 23:33:35,,18,154,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
90,337.07,103.20000000000005,4.078,0.0,155,298105195,1446991873,30,2025-03-26 23:33:40,,18,155,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
91,349.02,102.79999999999995,4.106,0.0,157,298105219,1446990467,30,2025-03-26 23:33:43,,44,157,894.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
90,370.29,103.0,4.133,0.0,158,298104913,1446987996,30,2025-03-26 23:33:48,,88,158,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
90,374.2,103.39999999999998,4.143,0.0,159,298104713,1446987589,30,2025-03-26 23:33:49,,44,159,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
89,385.57,104.39999999999998,4.143,0.0,159,298103735,1446986778,30,2025-03-26 23:33:52,,44,159,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
89,393.82,104.60000000000002,4.143,0.0,158,298102919,1446986390,30,2025-03-26 23:33:54,,88,158,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,408.57,104.20000000000005,4.115,0.0,161,298101346,1446986710,30,2025-03-26 23:33:58,,32,161,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,412.87,104.0,4.106,0.0,162,298100974,1446987069,30,2025-03-26 23:33:59,,32,162,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,432.38,103.0,4.078,0.0,164,298099528,1446988719,30,2025-03-26 23:34:04,,25,164,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,436.42,103.0,4.078,0.0,164,298099390,1446989180,30,2025-03-26 23:34:05,,25,164,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
89,456.32,103.20000000000005,4.059,0.0,165,298099306,1446991535,30,2025-03-26 23:34:10,,25,165,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
89,476.76,103.39999999999998,4.059,0.0,164,298099378,1446993947,30,2025-03-26 23:34:15,,25,164,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
89,480.47,103.39999999999998,4.05,0.0,164,298099331,1446994385,30,2025-03-26 23:34:16,,25,164,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,504.32,102.79999999999995,4.04,0.0,166,298099357,1446997196,30,2025-03-26 23:34:22,,25,166,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,508.25,102.60000000000002,4.04,0.0,167,298099322,1446997652,30,2025-03-26 23:34:23,,25,167,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,520.31,102.60000000000002,4.022,0.0,170,298099059,1446999050,30,2025-03-26 23:34:26,,44,170,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
87,533.17,103.20000000000005,4.022,0.0,173,298099188,1447000547,30,2025-03-26 23:34:29,,57,173,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
87,548.13,103.20000000000005,4.003,0.0,176,298100387,1447001834,30,2025-03-26 23:34:33,,44,176,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
87,552.07,103.0,4.003,0.0,177,298100764,1447002063,30,2025-03-26 23:34:34,,44,177,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
88,565.36,102.79999999999995,4.003,0.0,178,298102105,1447002424,30,2025-03-26 23:34:38,,44,178,894.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
87,572.8,103.20000000000005,3.938,0.0,177,298102869,1447002568,30,2025-03-26 23:34:41,,44,177,894.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
87,580.68,102.20000000000005,3.406,0.5,178,298103594,1447001884,30,2025-03-26 23:34:43,,32,178,894.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
86,600.29,102.20000000000005,3.863,0.0,178,298104924,1447000122,30,2025-03-26 23:34:48,,32,178,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
87,622.0,103.0,3.798,0.0,177,298105216,1446997564,30,2025-03-26 23:34:54,,44,177,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
87,644.43,103.39999999999998,3.63,0.0,175,298105473,1446994922,30,2025-03-26 23:35:00,,18,175,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
90,655.6,103.39999999999998,3.574,0.0,175,298105504,1446993596,30,2025-03-26 23:35:03,,18,175,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
89,676.41,103.20000000000005,3.77,0.0,174,298105591,1446991117,30,2025-03-26 23:35:08,,32,174,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
87,683.69,102.79999999999995,3.826,0.0,174,298105571,1446990258,30,2025-03-26 23:35:10,,32,174,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
86,705.83,102.79999999999995,3.891,0.0,173,298104829,1446987823,30,2025-03-26 23:35:16,,25,173,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
86,709.61,102.79999999999995,3.891,0.0,173,298104580,1446987468,30,2025-03-26 23:35:17,,25,173,0.0,,activity,,stop,2025-03-27 07:43:00,1,2025-03-26 23:43:00,570.537,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-26 23:32:16,,,,,,,"(None, None, None, None, None, None)",,,,,
